path,text
/Users/ganeshmarpuri/development/synthetic_image generation/output/Impact_87742.png,"jw""+|"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Tahoma Bold_48932.png,Lynn
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial_76280.png,spoken
/Users/ganeshmarpuri/development/synthetic_image generation/output/Ayuthaya_83464.png,%<+|*`x6AY61H
/Users/ganeshmarpuri/development/synthetic_image generation/output/Khmer Sangam MN_68760.png,rebox
/Users/ganeshmarpuri/development/synthetic_image generation/output/KefaIII_68622.png,biscuitroot
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trebuchet MS Bold_68000.png,&P^?1L'4\ ?KUq
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Black_28533.png,Decapsulate zinciferous caliph bid phyllis
/Users/ganeshmarpuri/development/synthetic_image generation/output/Courier New Bold Italic_57262.png,MSrsRV
/Users/ganeshmarpuri/development/synthetic_image generation/output/Comic Sans MS_43086.png,Dendraspis
/Users/ganeshmarpuri/development/synthetic_image generation/output/DIN Alternate Bold_29512.png,Hackneyer catsup suburbandom guaruan pontal?
/Users/ganeshmarpuri/development/synthetic_image generation/output/Wingdings_56510.png,reseminate
/Users/ganeshmarpuri/development/synthetic_image generation/output/Sathu_51174.png,5s%Z D:4]?
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Bold Italic_62215.png,eightyfold
/Users/ganeshmarpuri/development/synthetic_image generation/output/Tahoma_53554.png,Holcodont shuckins mesityl hesitancy creashaks catastate precerebroid!
/Users/ganeshmarpuri/development/synthetic_image generation/output/PlantagenetCherokee_77467.png,Timuquan speaklessly peppergrass growthful cariacine
/Users/ganeshmarpuri/development/synthetic_image generation/output/Georgia Bold_65544.png,Arya actinistia runecraft resultful zonoskeleton.
/Users/ganeshmarpuri/development/synthetic_image generation/output/Verdana Bold Italic_29160.png,Rn./;CL07^
/Users/ganeshmarpuri/development/synthetic_image generation/output/Microsoft Sans Serif_18835.png,cerussite
/Users/ganeshmarpuri/development/synthetic_image generation/output/Georgia Bold Italic_25078.png,Rheic apodes hilt beswinge calumniative beforeness undividable.
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Rounded Bold_18550.png,Needleworked precuneate stationman sonorescent?
/Users/ganeshmarpuri/development/synthetic_image generation/output/Times New Roman Bold_43994.png,tufthunter
/Users/ganeshmarpuri/development/synthetic_image generation/output/Krungthep_12932.png,Balao didymitis ita hamamelis unflippant speck bibless?
/Users/ganeshmarpuri/development/synthetic_image generation/output/Andale Mono_31207.png,matachin
/Users/ganeshmarpuri/development/synthetic_image generation/output/Herculanum_51577.png,Crataeva pleophyletic octogamy alsatia iriarteaceae antimonate silverless?
/Users/ganeshmarpuri/development/synthetic_image generation/output/Comic Sans MS Bold_70953.png,v1hzK|r
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Italic_46945.png,"\}DRT}b$7p,~W"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Verdana_61658.png,Y~2qbO
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Narrow Bold_82708.png,Militate unvinous rotativism
/Users/ganeshmarpuri/development/synthetic_image generation/output/LastResort_38625.png,Jerboa humean cluff conceptual cerated theosophic spiritsome.
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXGeneralItalic_39407.png,ejoo
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXGeneral_28286.png,Accentor overdose router postfoveal vives aviculturist euchology
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXTwoMath_18427.png,"590y+8%""I?'9"
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXGeneralBolIta_30506.png,Hart laridae uninwrapped unaway!
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXGeneralBol_51536.png,(n1Z#h
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Unicode_95786.png,jL0Ia@TJHP_xy
/Users/ganeshmarpuri/development/synthetic_image generation/output/Geneva_55922.png,theurgist
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNSMono_97423.png,&ECBb
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFCompact_13973.png,<6z f1d+sX
/Users/ganeshmarpuri/development/synthetic_image generation/output/NewYork_54580.png,binately
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNSMonoItalic_57023.png,?VOxs
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNS_29206.png,Irony arillus therewithin!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Monaco_34880.png,$piUJe
/Users/ganeshmarpuri/development/synthetic_image generation/output/Apple Symbols_33864.png,Muridism pseudechis compos reswim optimacy collembolic?
/Users/ganeshmarpuri/development/synthetic_image generation/output/NewYorkItalic_66796.png,/US{7>'L
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFCompactItalic_58848.png,courthouse
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNSRounded_38615.png,Cousinage cytinaceous allopathetic hysteropexy pinaceous cakette
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFCompactRounded_38007.png,"/Z49C""J=?%"
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNSItalic_38684.png,interjoin
/Users/ganeshmarpuri/development/synthetic_image generation/output/Webdings_57915.png,"h/E,}%6~VHR%"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Zapfino_87701.png,opiatic
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trebuchet MS Italic_75816.png,gr@}Bo4j($D
/Users/ganeshmarpuri/development/synthetic_image generation/output/Georgia_83309.png,evangelary
/Users/ganeshmarpuri/development/synthetic_image generation/output/Verdana Bold_77200.png,dependingly
/Users/ganeshmarpuri/development/synthetic_image generation/output/Bodoni 72 Smallcaps Book_48366.png,redstreak
/Users/ganeshmarpuri/development/synthetic_image generation/output/Times New Roman Bold Italic_62779.png,AQ$/Qs])
/Users/ganeshmarpuri/development/synthetic_image generation/output/Silom_99127.png,?wj`vdoC;
/Users/ganeshmarpuri/development/synthetic_image generation/output/Verdana Italic_34022.png,subdeputy
/Users/ganeshmarpuri/development/synthetic_image generation/output/Times New Roman Italic_91352.png,Ophiological otidae guidman caramelen meteorism arride?
/Users/ganeshmarpuri/development/synthetic_image generation/output/Bradley Hand Bold_83257.png,Unmangled nonintention horizon characin partially unclustered
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Narrow Italic_21368.png,Scanian competency wrecky maul sideroscope abintestate.
/Users/ganeshmarpuri/development/synthetic_image generation/output/AppleGothic_86142.png,Liquiform oxytoluic perithecial sipunculid notal.
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXTwoText-Italic_25176.png,Zqr+N`
/Users/ganeshmarpuri/development/synthetic_image generation/output/DIN Condensed Bold_39356.png,TTN-{pW
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Bold_92386.png,Tepp!f3
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trebuchet MS_79156.png,hosteler
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trattatello_43813.png,Postluetic tenseness nonascetic antirrhinum pottled alexandrina.
/Users/ganeshmarpuri/development/synthetic_image generation/output/BigCaslon_61719.png,onion
/Users/ganeshmarpuri/development/synthetic_image generation/output/Courier New Bold_15181.png,subirrigate
/Users/ganeshmarpuri/development/synthetic_image generation/output/Lao Sangam MN_60114.png,Beltir
/Users/ganeshmarpuri/development/synthetic_image generation/output/Luminari_14905.png,penetrative
/Users/ganeshmarpuri/development/synthetic_image generation/output/Times New Roman_37828.png,Absurdness unforeknown varlet!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Brush Script_91590.png,aureately
/Users/ganeshmarpuri/development/synthetic_image generation/output/Georgia Italic_55852.png,:XT#&4M|{
/Users/ganeshmarpuri/development/synthetic_image generation/output/Courier New Italic_32283.png,zoanthropy
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Unicode_97786.png,"98lmJ+,'u|J"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Chalkduster_37939.png,ltC3v8NbeN*XQb2
/Users/ganeshmarpuri/development/synthetic_image generation/output/Apple Chancery_42486.png,Unforeknown mesally rosaceous mucic unhelpfully microwatt grub!
/Users/ganeshmarpuri/development/synthetic_image generation/output/AppleMyungjo_59696.png,traceability
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Narrow Bold Italic_64778.png,semistory
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Narrow_56609.png,h~(EneNU^a)osEu
/Users/ganeshmarpuri/development/synthetic_image generation/output/Courier New_72394.png,Ogress awmous hornotine codespairer?
/Users/ganeshmarpuri/development/synthetic_image generation/output/Wingdings 3_45333.png,li3 x4
/Users/ganeshmarpuri/development/synthetic_image generation/output/Wingdings 2_68507.png,lawned
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXTwoText_29454.png,Cogence withholdable accersition jessed tensibleness!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Skia_89661.png,youd
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trebuchet MS Bold Italic_90504.png,Viol solyma chichipate syngnathi
/Users/ganeshmarpuri/development/synthetic_image generation/output/Impact_31463.png,OM_]L.D?ku9a0
/Users/ganeshmarpuri/development/synthetic_image generation/output/Tahoma Bold_38485.png,nY3`j * $rNh*Ws
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial_24350.png,Leiotrichi
/Users/ganeshmarpuri/development/synthetic_image generation/output/Ayuthaya_84737.png,Hippocratea
/Users/ganeshmarpuri/development/synthetic_image generation/output/Khmer Sangam MN_68365.png,6^[nw]Ix J=@~m
/Users/ganeshmarpuri/development/synthetic_image generation/output/KefaIII_24454.png,skibslast
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trebuchet MS Bold_20607.png,Tv]a+B%);tClCc
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Black_65599.png,philonoist
/Users/ganeshmarpuri/development/synthetic_image generation/output/Courier New Bold Italic_36979.png,"$~s,"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Comic Sans MS_73139.png,Interester unbeholden isabelina lytta viperishly swinge.
/Users/ganeshmarpuri/development/synthetic_image generation/output/DIN Alternate Bold_20330.png,Vug neognathous avianization shellfire nontabular!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Wingdings_80147.png,Megascleric soja oxytonize nymphalid mullet grindstone
/Users/ganeshmarpuri/development/synthetic_image generation/output/Sathu_72754.png,yachtswoman
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Bold Italic_71044.png,semianimal
/Users/ganeshmarpuri/development/synthetic_image generation/output/Tahoma_49453.png,=Pl ~e/
/Users/ganeshmarpuri/development/synthetic_image generation/output/PlantagenetCherokee_69480.png,jGfU4']
/Users/ganeshmarpuri/development/synthetic_image generation/output/Georgia Bold_11128.png,Meniality gladiolus phylactery.
/Users/ganeshmarpuri/development/synthetic_image generation/output/Verdana Bold Italic_28285.png,Blennoemesis cisoceanic concessively merotomize?
/Users/ganeshmarpuri/development/synthetic_image generation/output/Microsoft Sans Serif_76562.png,khagiarite
/Users/ganeshmarpuri/development/synthetic_image generation/output/Georgia Bold Italic_28785.png,orchilla
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Rounded Bold_73845.png,forthgo
/Users/ganeshmarpuri/development/synthetic_image generation/output/Times New Roman Bold_41578.png,Reapparel allomorphite pilular zionist valedictory portrayist tarpaulin!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Krungthep_59396.png,Titlark platyglossal bakie
/Users/ganeshmarpuri/development/synthetic_image generation/output/Andale Mono_85200.png,#:8-CH$u.Q5d
/Users/ganeshmarpuri/development/synthetic_image generation/output/Herculanum_54071.png,permissively
/Users/ganeshmarpuri/development/synthetic_image generation/output/Comic Sans MS Bold_23537.png,"N4LRGr3,2]\Gk~x"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Italic_14662.png,chrisom
/Users/ganeshmarpuri/development/synthetic_image generation/output/Verdana_81509.png,R2uKdl
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Narrow Bold_29659.png,ttGS`z@G
/Users/ganeshmarpuri/development/synthetic_image generation/output/LastResort_56366.png,Perryman partite opsonology sciotheism repiningly reremouse poltfooted.
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXGeneralItalic_12238.png,uncombatable
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXGeneral_28955.png,8K`q~LL2|K?H
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXTwoMath_78419.png,",|!s0m~.X"
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXGeneralBolIta_60594.png,E.$u6-B:YE
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXGeneralBol_84592.png,Riving prepartake beige alexandrite rond
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Unicode_16262.png,Taxwax unpartaken stoneweed.
/Users/ganeshmarpuri/development/synthetic_image generation/output/Geneva_46993.png,".O=FOhji\w'|"""
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNSMono_43538.png,Ferme diglottic smutted hippotomical tritanopia retinene reduced.
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFCompact_11521.png,ovigerous
/Users/ganeshmarpuri/development/synthetic_image generation/output/NewYork_39131.png,laborism
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNSMonoItalic_92211.png,Alloquialism cornettino pseudoerotic muscinae antimetropic lozengy!
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNS_62750.png,raw
/Users/ganeshmarpuri/development/synthetic_image generation/output/Monaco_60325.png,Barracuda weedless scombroidean stimulate overdrowsed flippantly zenith!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Apple Symbols_35680.png,YOSv
/Users/ganeshmarpuri/development/synthetic_image generation/output/NewYorkItalic_47376.png,tricolor
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFCompactItalic_45383.png,Gloweringly slided cycadlike ablation hydrogeology.
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNSRounded_56622.png,ncm-EE)Lmz*B
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFCompactRounded_91456.png,Directorate unperfidious peglike borracha quaedam oculary veritability!
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNSItalic_78669.png,MbE'w+M}`6J
/Users/ganeshmarpuri/development/synthetic_image generation/output/Webdings_72489.png,upspurt
/Users/ganeshmarpuri/development/synthetic_image generation/output/Zapfino_20243.png,Placitum petrinist trochidae?
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trebuchet MS Italic_25855.png,",&becB"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Georgia_47454.png,>/6AkHAHoi-
/Users/ganeshmarpuri/development/synthetic_image generation/output/Verdana Bold_99828.png,"wM{tW,wR"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Bodoni 72 Smallcaps Book_29565.png,otherwhile
/Users/ganeshmarpuri/development/synthetic_image generation/output/Times New Roman Bold Italic_64601.png,bushlike
/Users/ganeshmarpuri/development/synthetic_image generation/output/Silom_58357.png,63}!v>4lHxBi.
/Users/ganeshmarpuri/development/synthetic_image generation/output/Verdana Italic_53332.png,Prisondom ectozoan volute semiannealed
/Users/ganeshmarpuri/development/synthetic_image generation/output/Times New Roman Italic_16657.png,Unbury unflaky pleasureful curwhibble lieu.
/Users/ganeshmarpuri/development/synthetic_image generation/output/Bradley Hand Bold_71079.png,`{Eu>l
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Narrow Italic_19270.png,troutlike
/Users/ganeshmarpuri/development/synthetic_image generation/output/AppleGothic_37679.png,subnotation
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXTwoText-Italic_46253.png,`&\Zc$I2^-
/Users/ganeshmarpuri/development/synthetic_image generation/output/DIN Condensed Bold_37023.png,galloping
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Bold_79496.png,Hydroturbine angelique hyporchesis playback actinometer diapnotic addenda!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trebuchet MS_77526.png,TnOY<
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trattatello_17253.png,b79FrcHj+}
/Users/ganeshmarpuri/development/synthetic_image generation/output/BigCaslon_12611.png,Periodograph leguan excuseless scorpionic banak concaver
/Users/ganeshmarpuri/development/synthetic_image generation/output/Courier New Bold_24981.png,Anticipate brahmachari flourish joulean
/Users/ganeshmarpuri/development/synthetic_image generation/output/Lao Sangam MN_87698.png,overwear
/Users/ganeshmarpuri/development/synthetic_image generation/output/Luminari_10067.png,Decimosexto sweetener suburbanity hellborn!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Times New Roman_58681.png,"2""JagIj#"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Brush Script_47118.png,Shrip accumulate selfishly?
/Users/ganeshmarpuri/development/synthetic_image generation/output/Georgia Italic_54541.png,Y7^74<}45c<yX
/Users/ganeshmarpuri/development/synthetic_image generation/output/Courier New Italic_12482.png,\a5G
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Unicode_19165.png,%rkJjk3)Z
/Users/ganeshmarpuri/development/synthetic_image generation/output/Chalkduster_80937.png,Bluefish pittacal trevet dioecism fishet drawers oinomancy
/Users/ganeshmarpuri/development/synthetic_image generation/output/Apple Chancery_48282.png,entamoebic
/Users/ganeshmarpuri/development/synthetic_image generation/output/AppleMyungjo_38800.png,Leuckartia
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Narrow Bold Italic_10750.png,C{$ZJ
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Narrow_51019.png,erythrolysin
/Users/ganeshmarpuri/development/synthetic_image generation/output/Courier New_10842.png,jitney
/Users/ganeshmarpuri/development/synthetic_image generation/output/Wingdings 3_27946.png,Inapathy whit glove platformist paradigm gratifyingly euxine!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Wingdings 2_18035.png,Monoxylon stereoscopy staio adducent?
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXTwoText_42226.png,fuddler
/Users/ganeshmarpuri/development/synthetic_image generation/output/Skia_45112.png,Hoodwinker lex ruffianize unshoveled marquis
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trebuchet MS Bold Italic_80661.png,I+?9KU
/Users/ganeshmarpuri/development/synthetic_image generation/output/Impact_78769.png,"IK>*,d1<UD}"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Tahoma Bold_66911.png,Sphenotic yaya kudrun biparietal daftly
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial_86832.png,Lachrymae underling sinuatrial
/Users/ganeshmarpuri/development/synthetic_image generation/output/Ayuthaya_90931.png,jugglement
/Users/ganeshmarpuri/development/synthetic_image generation/output/Khmer Sangam MN_97455.png,1C$Ut
/Users/ganeshmarpuri/development/synthetic_image generation/output/KefaIII_46312.png,C=@i
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trebuchet MS Bold_93989.png,hemina
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Black_74972.png,"iEA@5',EVX++"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Courier New Bold Italic_50222.png,picrocarmine
/Users/ganeshmarpuri/development/synthetic_image generation/output/Comic Sans MS_13009.png,Boehmenism
/Users/ganeshmarpuri/development/synthetic_image generation/output/DIN Alternate Bold_87905.png,Praetorian newsbill foundership hyperimmune!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Wingdings_42000.png,flamenship
/Users/ganeshmarpuri/development/synthetic_image generation/output/Sathu_40081.png,"oN,)@X$B,yIO"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Bold Italic_47956.png,Agraffee resumption odiometer
/Users/ganeshmarpuri/development/synthetic_image generation/output/Tahoma_35433.png,vernonin
/Users/ganeshmarpuri/development/synthetic_image generation/output/PlantagenetCherokee_20428.png,unsufficed
/Users/ganeshmarpuri/development/synthetic_image generation/output/Georgia Bold_84476.png,chFQVf#8
/Users/ganeshmarpuri/development/synthetic_image generation/output/Verdana Bold Italic_89215.png,Lucretius
/Users/ganeshmarpuri/development/synthetic_image generation/output/Microsoft Sans Serif_98281.png,Juramentally veri kajar misfashion!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Georgia Bold Italic_82746.png,U5&2=SEYIEq
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Rounded Bold_83170.png,"Pm[S],m5="
/Users/ganeshmarpuri/development/synthetic_image generation/output/Times New Roman Bold_36399.png,faintly
/Users/ganeshmarpuri/development/synthetic_image generation/output/Krungthep_59136.png,g!{ze}
/Users/ganeshmarpuri/development/synthetic_image generation/output/Andale Mono_80328.png,_b??
/Users/ganeshmarpuri/development/synthetic_image generation/output/Herculanum_23662.png,castling
/Users/ganeshmarpuri/development/synthetic_image generation/output/Comic Sans MS Bold_36148.png,Subjunct bree strideways misguide migration unson dislocatory
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Italic_53473.png,3d]CZn6IDD
/Users/ganeshmarpuri/development/synthetic_image generation/output/Verdana_83944.png,Minuter euphonetics paruria chirographic antonym
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Narrow Bold_93502.png,!F2_K
/Users/ganeshmarpuri/development/synthetic_image generation/output/LastResort_75221.png,Greenwich
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXGeneralItalic_32845.png,Epiblastema praenomina hinderingly remains gestative despoil surianaceae
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXGeneral_46926.png,timberhead
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXTwoMath_29229.png,"?xyV,z?afIvP"""
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXGeneralBolIta_84124.png,Pearmonger abrade neuroplasm subatom
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXGeneralBol_99517.png,Unnoticing balaenid ratlike!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Unicode_84059.png,landesite
/Users/ganeshmarpuri/development/synthetic_image generation/output/Geneva_62213.png,uraeus
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNSMono_33265.png,Fugue precorridor unfamiliar overglaze.
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFCompact_87080.png,Noctilucous cuya myrientomata evangelium lateronuchal
/Users/ganeshmarpuri/development/synthetic_image generation/output/NewYork_63741.png,Membership misdateful anan crocodiloid serpentarius?
